vehicle_id,vehicle_type,battery_capacity_kwh,vehicle_model,vehicle_age,motor_power_kw,vehicle_weight_kg,state_of_charge,battery_temperature,battery_voltage,battery_current,battery_cycles,battery_health,charging_type,charging_time,average_speed,maximum_speed,acceleration,driving_style,distance_travelled,regenerative_braking,outside_temperature,humidity,road_condition,traffic_level,terrain,wind_speed,ac_usage,passenger_load,headlight_usage,infotainment_usage,energy_consumption_kwh_per_100km,estimated_range_km
EV108856,Bus,348.63,Olectra C9,3.45,214.88,16688.2,52.29,32.93,649.33,165.76,935,94.74,DC Fast,5.47,31.49,106.8,0.74,Eco,118.73,76.86,33.57,35.28,Good,High,Mixed,2.08,High,46,Off,On,138.88,124.36
EV108857,Bus,142.7,JBM ECOLIFE,10.97,161.07,9640.6,44.24,30.18,695.28,242.93,1734,80.75,AC,12.0,13.72,56.06,1.05,Normal,84.95,77.27,24.91,53.38,Good,High,Flat,11.58,Off,18,Off,On,114.84,44.39
EV108858,Car,32.28,MG ZS EV,7.78,158.54,2216.7,33.4,37.49,342.39,69.71,1451,83.72,DC Fast,0.46,31.06,84.28,1.61,Eco,29.13,82.41,28.84,45.94,Average,Low,Hilly,0.72,High,2,On,On,26.42,34.16
EV108859,Car,42.02,Mahindra XUV400,5.43,125.39,1149.6,94.72,28.15,370.34,76.16,1162,89.28,AC,4.86,59.33,99.25,2.34,Normal,197.15,98.29,32.91,78.07,Average,Medium,Mixed,6.21,Low,5,On,On,22.88,155.26
EV108860,Car,25.34,Tata Nexon EV,2.19,87.05,1628.1,65.75,33.81,361.57,111.23,712,93.76,AC,3.25,32.72,84.82,2.38,Normal,310.03,50.09,32.29,78.23,Excellent,Medium,Mixed,8.42,Low,2,On,On,21.62,72.24
EV108861,Car,77.76,Hyundai Ioniq 5,11.43,159.54,1696.6,84.98,43.33,419.45,94.6,1694,83.32,DC Fast,1.04,60.85,92.31,1.55,Normal,111.81,59.96,40.98,37.91,Good,Medium,Flat,16.51,High,4,On,On,23.68,232.47
EV108862,Bus,262.92,Ashok Leyland Switch,13.17,172.79,12489.0,59.79,29.57,739.86,214.32,1351,77.14,DC Fast,2.9,49.95,120.0,2.22,Eco,374.67,66.61,37.01,55.33,Good,Low,Hilly,4.94,Medium,49,Off,On,133.59,90.79
EV108863,Car,31.16,Tata Nexon EV,0.84,87.31,1527.8,59.09,15.12,354.56,72.9,1045,97.26,AC,3.61,45.86,103.49,3.21,Aggressive,191.48,34.93,18.34,46.64,Average,High,Flat,13.61,Low,4,Off,On,27.73,64.58
EV108864,Car,71.84,MG ZS EV,5.73,126.82,1566.2,24.65,26.23,315.77,42.28,1455,87.01,AC,7.41,56.13,125.05,3.08,Normal,54.02,50.7,27.36,66.31,Average,Medium,Flat,12.07,Low,1,Off,On,23.66,65.12
EV108865,Car,77.23,Tata Tiago EV,2.99,44.88,1183.8,83.59,34.76,371.82,83.02,779,96.94,AC,9.13,56.88,104.37,2.01,Eco,203.99,99.81,25.08,37.18,Excellent,High,Flat,15.09,Low,5,Off,On,19.66,318.27
EV108866,Car,39.7,BYD Atto 3,9.71,59.48,2175.5,36.49,39.35,344.44,108.75,1620,87.57,AC,4.03,59.35,137.99,4.25,Eco,190.4,50.67,34.81,59.01,Excellent,Medium,Mixed,0.67,Off,5,On,On,22.73,55.81
EV108867,Car,42.96,Tata Nexon EV,4.23,90.19,1086.3,50.4,31.49,355.45,95.23,999,89.99,DC Fast,0.56,45.67,123.75,2.11,Normal,110.9,39.91,25.91,66.15,Average,Low,Flat,7.4,Medium,1,On,On,21.51,90.58
EV108868,Car,79.67,BYD Atto 3,3.73,108.81,1248.3,74.57,41.36,370.32,63.93,1055,93.4,DC Fast,0.94,23.41,81.81,2.18,Eco,246.04,96.19,18.63,81.78,Good,Low,Flat,5.14,Off,2,On,On,13.19,420.82
EV108869,Scooty,6.04,Ola S1 Pro,3.92,10.41,128.6,88.59,23.41,62.98,30.29,389,94.51,AC,0.62,34.62,69.17,2.17,Eco,25.92,54.98,14.55,75.2,Good,Medium,Flat,4.55,High,1,Off,On,8.0,63.26
EV108870,Car,34.96,Hyundai Ioniq 5,3.45,147.62,2141.1,45.88,20.68,334.91,59.87,507,94.11,AC,4.06,53.17,110.92,2.82,Eco,131.58,72.12,28.14,47.56,Poor,Low,Hilly,4.55,High,4,Off,On,28.44,53.07
EV108871,Bus,140.17,Ashok Leyland Switch,6.86,156.08,11478.0,11.98,32.73,631.21,357.48,1659,87.48,DC Fast,2.03,26.8,64.3,1.63,Normal,198.75,79.06,27.06,74.95,Good,Medium,Flat,7.35,High,40,Off,On,111.66,13.16
EV108872,Car,69.37,BYD Atto 3,8.68,53.87,1281.4,56.33,27.85,374.69,43.29,1050,81.11,DC Fast,1.03,64.35,118.09,3.53,Normal,55.23,74.85,20.8,45.76,Good,Medium,Hilly,15.65,High,2,Off,On,28.89,109.71
EV108873,Scooty,7.63,Ather 450X,1.47,4.52,115.9,13.15,28.79,54.65,46.38,277,97.14,Fast Charging,1.12,57.93,93.95,2.48,Normal,96.52,75.63,29.2,61.73,Good,Medium,Mixed,7.75,Medium,1,Off,Off,8.0,12.18
EV108874,Car,76.88,Tata Nexon EV,7.86,74.78,1053.8,8.98,36.73,417.02,74.01,1325,84.51,DC Fast,0.87,63.6,140.96,3.62,Normal,53.23,74.71,31.69,77.8,Good,High,Mixed,10.24,Off,5,Off,On,24.58,23.73
EV108875,Car,27.61,Hyundai Ioniq 5,10.18,143.76,1865.8,75.29,31.03,329.39,78.57,1323,89.3,DC Fast,0.35,21.43,83.23,3.61,Normal,117.14,57.6,38.5,82.07,Poor,Medium,Flat,7.18,Low,4,On,On,23.69,78.36
EV108876,Bus,246.25,Tata Starbus EV,6.59,170.85,12042.1,33.41,37.52,651.99,295.08,841,89.94,DC Fast,3.9,28.73,61.24,1.53,Eco,170.16,56.3,28.61,36.64,Average,Medium,Mixed,12.47,Off,8,Off,On,114.57,64.58
EV108877,Scooty,6.65,Bajaj Chetak,6.37,6.85,118.8,11.51,22.42,63.95,39.06,1666,87.18,AC,0.83,50.68,94.94,2.54,Aggressive,119.4,38.63,27.53,69.54,Good,Low,Flat,13.31,Off,1,On,Off,8.0,8.34
EV108878,Car,52.85,Mahindra XUV400,6.17,123.01,1162.8,19.1,26.79,346.51,103.14,912,94.89,DC Fast,0.79,42.2,74.23,2.59,Aggressive,111.77,50.83,26.26,67.21,Excellent,High,Mixed,11.69,High,5,Off,On,28.13,34.05
EV108879,Car,35.03,Tata Tiago EV,4.98,69.8,1304.5,97.79,26.23,357.12,35.35,1059,90.87,AC,3.61,50.82,121.41,2.52,Normal,255.65,80.79,40.89,67.39,Average,High,Hilly,7.94,Off,3,On,On,30.32,102.67
EV108880,Scooty,5.42,Ather 450X,7.41,9.15,120.8,38.05,32.09,56.77,36.78,1406,87.42,AC,0.51,49.81,119.16,2.01,Eco,125.3,71.97,32.05,30.01,Good,High,Flat,18.95,Medium,1,Off,Off,8.0,22.52
EV108881,Bus,322.81,Olectra C9,14.22,225.74,10169.8,23.95,37.51,655.35,186.75,2313,70.36,Depot Fast,1.41,32.57,106.27,1.62,Eco,63.15,84.45,29.48,87.74,Good,Medium,Flat,9.74,Medium,8,Off,On,116.05,46.87
EV108882,Scooty,5.97,Ather 450X,5.99,3.71,140.1,17.35,27.4,53.36,43.31,1359,89.12,AC,0.61,44.31,107.8,0.8,Normal,114.44,28.1,29.01,71.01,Good,High,Flat,14.44,Low,1,On,Off,8.0,11.53
EV108883,Car,44.18,Hyundai Ioniq 5,11.94,98.25,1126.5,96.77,30.28,348.63,30.52,1436,79.25,DC Fast,0.5,53.88,87.65,2.82,Normal,198.31,64.91,33.24,68.89,Excellent,Medium,Hilly,14.0,Medium,3,Off,On,23.9,141.76
EV108884,Car,43.28,MG ZS EV,2.18,65.5,2225.2,24.13,38.05,335.19,39.17,843,91.34,AC,5.62,51.08,111.25,2.84,Normal,334.11,48.06,28.12,49.28,Good,Very High,Flat,9.69,Medium,3,On,On,26.24,36.36
EV108885,Car,79.52,Hyundai Ioniq 5,8.88,44.04,2087.2,47.01,22.69,373.52,111.77,1745,89.06,AC,8.29,29.88,86.45,2.2,Normal,139.46,54.67,30.61,65.49,Poor,Medium,Mixed,2.15,Off,3,Off,On,25.09,132.68
EV108886,Car,63.68,BYD Atto 3,0.48,134.8,1222.1,89.28,30.48,443.55,57.43,951,98.21,DC Fast,0.75,41.76,84.75,1.48,Normal,347.48,45.84,36.73,84.91,Excellent,Medium,Hilly,18.83,Low,4,On,On,24.1,231.68
EV108887,Car,25.07,BYD Atto 3,5.73,44.34,1655.9,42.3,24.4,340.41,19.62,1055,91.24,AC,2.67,32.45,71.71,1.45,Eco,328.0,63.85,21.82,45.06,Average,Medium,Flat,11.64,Low,5,Off,On,18.32,52.82
EV108888,Scooty,8.35,Ather 450X,1.78,5.33,105.3,80.65,30.57,63.11,34.38,1277,93.05,AC,1.05,61.55,89.97,2.2,Eco,114.48,78.25,31.52,58.06,Good,Medium,Flat,20.46,Off,1,Off,On,5.18,121.06
EV108889,Car,74.49,Hyundai Ioniq 5,2.53,122.51,1574.3,87.2,38.44,346.36,111.23,758,94.91,DC Fast,1.17,68.43,142.6,1.86,Normal,234.58,67.75,31.6,45.95,Good,Medium,Flat,15.78,Off,1,Off,On,19.61,314.44
EV108890,Scooty,3.17,Hero Vida V1,1.19,4.07,111.9,10.62,26.79,49.55,27.4,580,96.17,AC,0.42,39.08,110.07,1.24,Normal,13.05,40.59,15.84,62.44,Good,Very High,Flat,12.04,Low,1,On,On,8.0,5.0
EV108891,Scooty,5.08,TVS iQube,7.3,5.32,109.3,32.43,36.79,55.25,28.1,1414,90.21,AC,0.47,41.8,73.72,1.86,Normal,173.85,52.53,15.39,63.35,Good,Low,Mixed,2.18,Off,1,Off,On,7.7,19.31
EV108892,Scooty,3.98,Bajaj Chetak,5.62,4.42,128.7,8.93,35.59,60.26,24.96,1248,89.25,AC,0.4,50.15,100.75,2.93,Normal,32.26,76.45,10.71,75.34,Poor,High,Flat,16.22,Medium,1,Off,On,8.0,5.0
EV108893,Car,74.15,Tata Tiago EV,3.12,162.13,1286.3,83.75,29.12,380.87,38.76,865,92.59,DC Fast,1.01,41.61,75.94,2.84,Eco,250.11,36.21,33.5,56.9,Excellent,Medium,Mixed,18.34,High,4,Off,Off,20.41,281.68
EV108894,Car,58.23,Hyundai Ioniq 5,2.61,119.78,2095.1,68.14,31.59,305.27,94.11,1509,94.47,AC,7.25,30.87,66.12,2.26,Eco,143.72,39.22,39.16,60.23,Good,Very High,Flat,7.5,Medium,3,Off,On,24.93,150.35
EV108895,Car,58.44,Tata Nexon EV,8.0,101.55,1075.7,17.66,19.71,368.57,113.95,1139,85.98,DC Fast,0.9,54.64,105.54,1.46,Eco,224.08,86.34,32.88,97.49,Poor,Medium,Flat,5.41,High,4,On,On,21.86,40.6
EV108896,Car,50.23,BYD Atto 3,5.02,101.74,1271.6,51.18,14.77,367.94,102.03,1213,90.94,AC,5.46,65.94,99.84,2.04,Normal,275.45,52.7,30.2,80.1,Good,Medium,Mixed,12.28,High,1,Off,Off,25.96,90.06
EV108897,Car,58.04,Hyundai Ioniq 5,2.56,92.76,1980.3,65.63,24.58,329.63,76.48,827,94.42,DC Fast,0.64,53.84,120.1,2.88,Eco,155.24,41.15,31.46,90.57,Average,Very High,Hilly,15.41,Medium,1,Off,On,29.75,120.89
EV108898,Car,59.28,BYD Atto 3,3.42,110.46,1834.8,9.3,21.14,359.15,59.99,797,91.53,AC,5.73,59.56,117.82,1.83,Normal,192.99,69.47,29.63,64.48,Good,High,Flat,3.72,Medium,5,On,Off,22.12,22.81
EV108899,Car,57.0,Tata Nexon EV,4.98,40.25,1789.1,93.83,29.53,308.9,42.32,1304,90.4,AC,6.32,68.0,131.63,2.05,Normal,152.88,53.4,38.39,76.56,Average,High,Flat,4.78,Off,4,Off,Off,24.19,199.82
EV108900,Car,57.42,BYD Atto 3,10.05,90.68,2149.1,96.4,21.94,330.8,50.27,1746,82.34,AC,5.63,40.19,83.8,1.94,Normal,330.17,46.38,17.29,52.18,Average,Medium,Mixed,20.48,Medium,1,On,On,26.53,171.8
EV108901,Bus,176.88,Olectra C9,14.64,186.44,12681.7,47.45,18.53,574.63,257.02,1653,76.43,DC Fast,2.18,41.45,115.87,0.75,Normal,471.95,89.9,30.55,35.5,Good,High,Mixed,3.58,High,12,On,On,112.06,57.24
EV108902,Scooty,2.59,Bajaj Chetak,6.67,3.02,117.3,14.58,24.92,56.76,37.75,1268,87.75,Fast Charging,0.42,35.64,69.4,1.61,Aggressive,88.61,34.42,33.5,71.04,Poor,Medium,Flat,10.56,Low,1,Off,On,8.0,5.0
EV108903,Car,56.88,MG ZS EV,0.63,46.3,2125.9,26.49,32.91,360.78,77.83,295,97.09,AC,7.48,43.09,97.02,1.94,Eco,113.16,81.94,30.81,70.38,Average,Medium,Flat,8.73,High,4,Off,Off,22.76,64.27
EV108904,Bus,274.37,Olectra C9,5.95,159.42,8988.3,60.9,24.86,662.89,321.66,1706,85.32,DC Fast,3.45,18.99,90.92,1.37,Normal,900.0,71.27,31.68,61.22,Good,Low,Hilly,9.5,Low,33,Off,On,129.95,109.71
EV108905,Car,61.98,BYD Atto 3,8.4,117.86,2087.4,84.71,32.76,324.83,71.97,1512,88.91,AC,7.62,23.75,66.24,1.89,Normal,171.86,64.31,35.18,80.77,Good,Medium,Flat,7.78,Low,3,Off,Off,21.42,218.0
EV108906,Car,33.35,Tata Tiago EV,4.85,99.46,1476.0,50.69,29.27,381.2,96.03,844,93.3,AC,3.66,47.75,111.71,2.72,Normal,375.78,68.61,32.87,84.31,Good,Low,Hilly,9.65,Low,5,Off,Off,24.82,63.54
EV108907,Scooty,7.54,Ola S1 Pro,4.49,7.86,152.0,59.31,53.33,46.48,55.56,1122,88.12,AC,0.92,56.39,102.16,1.73,Normal,117.06,58.93,28.62,75.13,Good,High,Hilly,13.36,High,1,Off,On,8.0,49.24
EV108908,Car,49.17,BYD Atto 3,10.97,143.36,1169.8,64.24,27.86,372.82,94.07,1496,81.25,AC,5.47,49.02,84.78,2.17,Eco,120.12,55.5,11.97,29.81,Average,Low,Flat,10.83,Medium,2,On,On,18.78,136.64
EV108909,Car,78.54,BYD Atto 3,7.51,124.16,2248.9,43.37,24.93,385.63,104.86,1475,86.01,DC Fast,1.19,43.99,76.09,1.3,Eco,256.38,75.82,19.58,76.82,Good,Low,Flat,5.18,Low,1,On,On,18.27,160.37
EV108910,Car,50.1,Hyundai Ioniq 5,8.19,100.12,1536.8,65.16,29.55,395.85,68.19,833,88.84,AC,5.49,62.09,91.08,3.63,Normal,65.09,47.6,29.71,63.94,Average,High,Flat,10.88,Medium,4,Off,On,26.52,109.35
EV108911,Car,32.43,Tata Nexon EV,9.48,97.38,1182.9,31.79,30.02,351.77,93.91,1798,78.4,AC,3.46,31.59,84.3,2.33,Eco,64.82,50.18,17.9,73.08,Good,Low,Flat,13.97,Off,5,Off,On,14.72,54.89
EV108912,Scooty,2.8,Ola S1 Pro,4.4,5.32,102.8,62.01,44.5,51.39,49.19,1322,89.32,AC,0.33,36.44,97.08,1.63,Normal,58.15,50.4,37.96,75.33,Excellent,Medium,Flat,7.29,Medium,1,Off,Off,7.01,22.15
EV108913,Car,24.55,Mahindra XUV400,4.1,148.95,1505.7,88.29,40.26,394.02,98.88,973,95.1,AC,2.68,41.42,113.48,3.48,Normal,137.05,74.3,31.92,54.25,Good,Very High,Flat,17.2,Medium,1,Off,On,25.6,80.51
EV108914,Car,35.7,Hyundai Ioniq 5,1.62,71.23,1985.9,65.6,30.32,362.64,76.95,563,96.84,AC,4.26,59.4,119.5,4.0,Normal,79.76,59.83,31.8,52.73,Poor,Medium,Flat,7.21,Off,1,Off,Off,23.96,94.67
EV108915,Car,41.67,MG ZS EV,3.01,165.54,1891.3,68.69,34.38,361.68,109.81,794,94.69,AC,3.93,40.62,84.13,2.86,Normal,232.42,72.22,38.61,76.21,Average,Medium,Mixed,2.68,Low,5,Off,On,22.03,123.01
EV108916,Car,39.35,Tata Nexon EV,9.4,72.24,1345.6,43.0,9.23,395.09,63.18,1297,83.95,DC Fast,0.51,49.71,119.58,3.63,Normal,608.29,51.06,25.85,52.89,Good,Very High,Flat,6.99,High,2,On,On,24.61,57.73
EV108917,Car,76.04,Hyundai Ioniq 5,8.58,66.55,1231.6,8.95,22.04,386.14,81.67,1356,83.8,DC Fast,1.02,46.88,80.24,3.01,Normal,202.4,81.67,39.41,80.12,Average,High,Flat,12.65,Off,1,Off,Off,23.56,24.2
EV108918,Bus,227.57,Olectra C9,2.16,208.15,10861.7,96.22,19.82,661.92,146.46,982,95.54,AC,12.0,28.33,53.81,1.27,Eco,498.86,64.66,18.85,53.43,Average,Medium,Flat,3.93,Medium,13,On,Off,125.62,166.54
EV108919,Scooty,4.24,TVS iQube,7.63,4.42,129.2,61.03,29.84,67.19,24.64,1019,85.89,Fast Charging,0.73,36.14,106.79,1.61,Eco,18.33,68.35,28.02,87.41,Average,Very High,Flat,3.98,High,1,On,Off,8.0,27.79
EV108920,Car,43.29,Tata Nexon EV,7.21,124.56,1494.8,42.03,32.44,334.01,80.39,1288,89.01,AC,5.0,35.78,93.4,2.47,Normal,232.06,55.83,20.46,72.93,Good,Medium,Hilly,15.19,High,4,Off,On,27.87,58.11
EV108921,Scooty,4.62,Hero Vida V1,6.43,6.61,121.2,28.8,32.01,62.86,37.77,1218,88.74,Fast Charging,0.77,45.44,80.0,2.29,Normal,144.7,31.94,38.57,70.32,Average,Medium,Flat,21.39,Off,1,Off,On,8.0,14.75
EV108922,Car,69.33,Tata Nexon EV,4.91,81.75,2051.4,41.55,23.98,336.91,68.63,980,88.23,DC Fast,0.77,53.12,103.11,3.59,Eco,467.55,64.79,30.61,62.2,Average,Very High,Flat,9.71,High,2,Off,Off,25.46,99.81
EV108923,Car,45.48,Mahindra XUV400,0.5,70.34,1439.7,40.03,25.27,334.72,64.68,821,97.04,DC Fast,0.69,52.19,129.65,2.64,Aggressive,400.31,70.35,28.01,78.44,Good,Medium,Flat,10.53,Low,1,On,On,22.58,78.23
EV108924,Car,68.75,Mahindra XUV400,7.71,104.69,1244.3,23.18,25.93,407.12,56.79,1083,89.81,AC,9.31,43.02,108.53,0.87,Eco,162.11,79.84,34.85,70.87,Good,High,Flat,8.37,Medium,2,On,On,16.82,85.08
EV108925,Car,26.33,Tata Nexon EV,0.84,44.96,2176.3,70.29,22.09,338.28,83.94,775,96.22,AC,2.51,37.87,104.87,3.18,Normal,99.41,46.32,28.92,48.89,Average,Very High,Flat,8.66,High,5,Off,On,30.18,59.01
EV108926,Scooty,7.13,TVS iQube,7.64,9.95,98.2,43.35,29.84,49.22,45.77,885,90.83,AC,0.93,48.6,88.28,1.73,Normal,52.56,77.94,30.05,32.71,Average,Low,Flat,6.8,High,1,Off,Off,8.0,35.07
EV108927,Bus,336.43,Ashok Leyland Switch,1.94,169.38,15473.2,62.33,23.94,567.68,202.25,1100,94.07,Depot Fast,1.8,27.73,67.35,1.43,Normal,117.39,69.57,24.77,66.27,Excellent,Very High,Flat,16.82,Off,20,Off,On,125.19,157.56
EV108928,Car,81.6,Tata Nexon EV,3.15,157.96,1434.6,15.42,19.19,360.32,69.82,644,93.15,AC,7.69,32.47,58.59,2.38,Normal,301.51,71.06,40.97,72.83,Good,Medium,Flat,10.31,Low,5,On,On,21.39,54.81
EV108929,Car,46.75,Mahindra XUV400,7.32,129.83,1494.0,26.11,30.39,337.34,71.37,1365,84.01,DC Fast,0.61,41.87,114.71,2.89,Eco,369.01,79.61,20.17,51.5,Good,Medium,Mixed,12.78,High,3,Off,On,24.21,42.36
EV108930,Car,71.9,BYD Atto 3,6.73,116.01,2031.8,13.82,19.71,368.95,88.49,1068,90.01,AC,8.75,78.47,130.16,2.11,Normal,173.15,69.29,26.16,75.8,Excellent,Low,Hilly,12.96,High,1,Off,Off,27.5,32.52
EV108931,Car,72.49,MG ZS EV,6.1,82.62,1117.7,85.34,32.97,360.41,118.91,1438,87.97,DC Fast,1.1,41.59,104.4,3.12,Eco,19.92,85.88,29.32,68.49,Good,Very High,Flat,12.87,High,2,On,On,22.24,244.66
EV108932,Car,55.92,Mahindra XUV400,6.52,113.6,2068.9,70.31,28.24,371.54,96.18,1390,91.13,AC,6.17,75.82,132.75,2.48,Normal,55.57,70.62,43.04,66.11,Average,High,Mixed,14.02,Off,2,Off,On,30.23,118.51
EV108933,Bus,171.43,Tata Starbus EV,3.91,316.57,8467.3,24.86,17.39,622.63,234.63,1311,90.46,DC Fast,2.4,31.52,105.45,0.82,Aggressive,102.79,68.2,34.45,59.02,Good,Medium,Flat,8.1,Medium,27,On,Off,117.16,32.91
EV108934,Scooty,2.64,Ather 450X,7.07,6.09,131.6,79.46,35.45,53.83,43.89,895,91.25,Fast Charging,0.35,56.31,101.91,1.88,Aggressive,77.2,59.01,35.63,76.77,Good,High,Flat,4.87,Medium,1,Off,On,8.0,23.88
EV108935,Bus,228.81,Tata Starbus EV,2.66,182.05,12937.2,98.81,27.14,656.81,258.54,973,92.68,Depot Fast,1.17,41.61,111.38,1.99,Aggressive,225.77,79.88,18.28,57.04,Excellent,Very High,Mixed,11.46,Low,32,Off,Off,128.65,162.89
EV108936,Car,38.79,Tata Nexon EV,6.34,63.87,1472.4,64.94,19.61,341.0,31.73,662,89.34,AC,4.35,55.79,106.0,2.04,Normal,238.07,39.29,18.01,39.5,Good,Low,Flat,14.96,Low,3,On,On,19.03,118.26
EV108937,Car,40.99,BYD Atto 3,8.8,155.89,1910.2,77.44,24.4,370.81,77.59,1679,82.97,AC,4.69,28.04,54.14,2.85,Eco,200.82,64.16,33.08,68.67,Good,Medium,Flat,7.42,Off,3,On,Off,21.13,124.62
EV108938,Car,51.06,Mahindra XUV400,9.0,149.79,1224.8,81.79,49.01,363.81,70.63,1233,85.6,DC Fast,0.7,39.26,107.1,2.81,Normal,252.67,55.67,34.29,55.8,Good,Medium,Flat,4.9,Medium,2,Off,On,20.21,176.91
EV108939,Bus,291.89,Ashok Leyland Switch,12.96,264.24,10126.6,90.38,20.65,611.5,132.45,1711,74.98,DC Fast,3.22,31.43,108.24,1.14,Normal,334.61,78.32,26.18,45.06,Poor,Medium,Mixed,0.86,Off,51,Off,On,126.76,156.05
EV108940,Car,38.04,Tata Nexon EV,7.33,149.89,1653.1,68.94,20.34,276.23,8.61,1581,85.42,AC,3.72,41.67,96.31,3.56,Normal,87.95,71.42,34.75,76.4,Good,Medium,Flat,9.67,Off,4,Off,On,20.67,108.38
EV108941,Car,44.94,Tata Nexon EV,10.96,139.84,1158.4,48.98,24.14,347.68,83.29,1880,78.53,AC,5.46,57.35,113.84,1.49,Normal,502.22,67.88,23.78,52.53,Good,Medium,Flat,17.73,Off,5,On,Off,23.54,73.44
EV108942,Car,78.78,Tata Nexon EV,7.0,123.64,2067.2,38.91,26.59,338.1,83.74,939,87.32,AC,10.67,44.98,108.06,1.41,Normal,49.65,60.02,22.72,49.21,Good,Medium,Mixed,17.62,Medium,3,Off,On,26.02,102.86
EV108943,Scooty,6.47,Ather 450X,6.18,4.61,94.0,47.33,22.07,71.96,60.51,1228,91.34,Fast Charging,0.9,33.67,106.18,1.76,Normal,207.17,32.93,30.76,98.0,Excellent,Medium,Flat,12.04,Low,1,On,On,7.02,39.85
EV108944,Scooty,5.68,TVS iQube,5.3,8.13,115.8,47.64,28.7,61.05,45.84,1395,88.09,AC,0.58,45.42,90.46,3.24,Normal,90.84,42.95,29.58,81.04,Good,Medium,Flat,5.45,Medium,1,Off,On,7.84,30.4
EV108945,Scooty,7.11,TVS iQube,2.6,4.91,138.5,20.51,29.82,42.01,16.23,1146,93.37,AC,0.69,56.53,88.17,1.53,Eco,266.42,62.96,33.85,73.24,Excellent,Medium,Hilly,0.8,Low,1,Off,On,8.0,17.03
EV108946,Car,24.76,BYD Atto 3,1.96,98.57,1774.3,30.22,31.18,425.29,65.14,20,96.62,AC,3.13,46.64,112.28,2.27,Eco,138.18,60.27,20.81,85.57,Excellent,High,Flat,10.22,Medium,1,On,On,21.51,33.61
EV108947,Scooty,6.01,Bajaj Chetak,1.37,4.87,135.7,79.43,39.26,60.21,18.67,1104,94.57,AC,0.66,15.41,63.85,1.26,Normal,96.59,46.14,27.72,45.41,Excellent,Low,Hilly,17.03,Medium,1,Off,On,8.0,56.41
EV108948,Car,26.2,Hyundai Ioniq 5,6.9,51.94,2035.8,91.82,25.98,423.47,106.44,1258,94.74,DC Fast,0.39,52.65,78.97,2.01,Normal,64.68,56.48,21.03,45.24,Average,High,Mixed,11.17,Medium,2,On,Off,28.31,80.49
EV108949,Car,44.0,MG ZS EV,6.3,123.76,1175.5,74.06,32.28,281.5,37.8,1452,87.15,AC,5.79,35.39,66.19,2.36,Normal,107.01,49.29,45.19,54.31,Good,Medium,Hilly,8.05,Off,2,Off,On,26.84,105.82
EV108950,Car,34.69,BYD Atto 3,3.22,69.57,1233.1,97.42,35.72,365.85,25.39,506,92.48,DC Fast,0.46,53.96,105.41,2.22,Normal,182.26,96.7,35.89,61.71,Good,Very High,Hilly,21.2,High,5,Off,On,33.25,93.98
EV108951,Car,46.48,Mahindra XUV400,5.24,146.73,2122.4,55.71,27.58,383.5,44.71,1212,86.82,DC Fast,0.57,50.87,107.71,1.96,Normal,173.18,73.69,32.48,67.95,Good,Medium,Mixed,8.34,Medium,3,On,On,22.72,98.94
EV108952,Car,44.5,MG ZS EV,5.96,117.51,1764.6,53.8,25.79,336.0,77.71,713,89.42,AC,5.65,54.22,79.46,1.73,Normal,229.76,70.7,18.55,83.32,Average,Low,Flat,12.57,Off,2,Off,On,22.71,94.27
EV108953,Bus,289.92,Ashok Leyland Switch,9.76,346.43,12112.8,87.39,30.12,650.52,369.12,1998,76.03,DC Fast,3.69,41.57,82.69,1.38,Normal,148.76,74.76,34.31,94.59,Average,Medium,Flat,17.06,Low,19,On,On,137.25,140.34
EV108954,Car,63.31,Hyundai Ioniq 5,5.45,42.2,1390.1,15.83,29.8,327.36,89.81,1478,92.88,AC,7.65,52.97,86.63,2.57,Normal,40.25,99.14,35.25,85.38,Average,Low,Flat,9.68,Low,1,Off,Off,18.56,50.15
EV108955,Car,29.17,Tata Tiago EV,1.9,51.42,1902.8,81.38,13.7,356.35,92.03,989,94.94,AC,2.88,51.51,125.05,2.2,Eco,233.0,62.58,18.65,87.06,Good,Very High,Flat,5.42,Off,4,Off,On,23.36,96.46
EV108956,Scooty,4.64,Ather 450X,7.71,3.26,128.9,64.88,30.79,77.38,23.57,1054,90.37,AC,0.46,32.22,86.8,0.67,Normal,125.38,51.52,21.22,46.47,Average,High,Hilly,13.04,High,1,Off,On,8.0,34.01
EV108957,Scooty,5.67,Ola S1 Pro,2.94,8.32,97.5,20.28,31.66,64.61,35.51,698,96.01,AC,0.74,43.46,106.87,2.72,Eco,73.79,44.84,30.94,77.22,Average,Medium,Hilly,8.96,Medium,1,Off,On,8.0,13.8
EV108958,Car,36.11,Mahindra XUV400,0.6,157.99,1791.1,64.05,40.17,359.0,65.36,791,95.37,DC Fast,0.4,57.44,93.47,1.62,Normal,62.64,59.0,34.34,73.92,Average,High,Flat,0.0,Off,3,Off,On,21.85,100.93
EV108959,Car,53.14,Mahindra XUV400,0.33,44.48,1290.6,40.36,33.96,398.56,33.29,488,98.6,AC,5.28,50.08,77.08,3.1,Eco,170.9,33.95,22.77,87.2,Good,Low,Hilly,19.67,Off,3,Off,On,20.83,101.53
